model,parameters,validation_flow_mse,rollout_rmse,acceleration_rms,latency_ms
latency,905672,0.2984561026096344,0.566786066500391,0.26349201798439026,0.70614593278151
ensemble,3622688,0.29974254965782166,0.5592782688149871,0.2474248856306076,2.8714269001890593
validation,905672,0.3038656711578369,0.5650608526644023,0.26496171951293945,0.7076663003923992
rmse,905672,0.30405890941619873,0.5594430882022778,0.265568345785141,0.7264037994900718
acceleration,905672,0.3153337836265564,0.5692387231238367,0.2334820181131363,0.7060920334576318
student,905672,0.3186221420764923,0.5571051817380299,0.24005237221717834,0.7130583331066495
